ID,prh_start,prh_stop,prh_fps,lunge_quality,sonar_exp,total_lunges,deployment-time_secs,Index,TagOn,TagOff,dayhours,dayhourslunges,nighthours,nighthourslunges,twilightzone,twilightzonelunges,Prey,Prey notes,whaleLength,Study_Area,SpeciesCode,CommonName,med_TLm,slope,intercept,BestLengthEst,Engulfment_L,TotalLunges,TotalHours,LungesPerHour,LungesPerDayHour,LungesPerNightHour,LungesPerTwHour,PreyClean,Region,deployment-time_h
bw16_231a,0,180000,25,good,none,5,7200,314,572,177640,1.9674222227185965,5,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,5,1.9674222227185965,2.5413965249873858,2.5413965249873858,NA,NA,Krill-feeding,Eastern North Pacific,2
mn160725-36b,2728,78558,10,good,none,107,7583,131,2729,78559,2.106388888321817,107,0,0,0,0,Krill,(Shallow),NA,Monterey,mn,Humpback Whale,12.5,3.24603,0.85934,12.5,25683.814788949625,107,2.106388888321817,50.79783728124775,50.79783728124775,NA,NA,Krill-feeding,Eastern North Pacific,2.106388888888889
mn151031-3,2291,81375,10,good,none,120,7908.4,115,2292,81376,2.196770832873881,120,0,0,0,0,Krill,NA,NA,South Africa,mn,Humpback Whale,12.5,3.24603,0.85934,12.5,25683.814788949625,120,2.196770832873881,54.62563422831522,54.62563422831522,NA,NA,Krill-feeding,South Africa,2.1967777777777777
bw12_217b,0,166942,20,good,none,16,8347.1,290,1,164068,2.278708334080875,19,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,19,2.278708334080875,8.338057010558009,8.338057010558009,NA,NA,Krill-feeding,Eastern North Pacific,2.318638888888889
bw11_219b,0,42215,5,good,yes,25,8443,284,499,42072,2.309611109085381,25,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,25,2.309611109085381,10.824333110304504,10.824333110304504,NA,NA,Krill-feeding,Eastern North Pacific,2.345277777777778
bw10_266a,0,44037,5,good,yes,15,8807.4,272,536,43288,2.3751111086457968,15,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,15,2.3751111086457968,6.315494018531395,6.315494018531395,NA,NA,Krill-feeding,Eastern North Pacific,2.4465
mn151011-6,2980,88869,10,good,none,13,8588.9,111,2981,88870,2.3858055537566543,13,0,0,0,0,Krill,NA,NA,Monterey,mn,Humpback Whale,12.5,3.24603,0.85934,12.5,25683.814788949625,13,2.3858055537566543,5.448893343185656,5.448893343185656,NA,NA,Krill-feeding,Eastern North Pacific,2.3858055555555557
mn170220-30,6772,95290,10,good,none,45,8851.8,144,6773,95291,2.458833334967494,45,0,0,0,0,Krill,NA,NA,Antarctic,mn,Humpback Whale,12.5,3.24603,0.85934,12.5,25683.814788949625,45,2.458833334967494,18.301362422595798,18.301362422595798,NA,NA,Krill-feeding,Antarctic,2.458833333333333
mn170613-20,2416,91729,10,good,none,74,8931.3,149,2417,91730,2.480916665866971,75,0,0,0,0,SandLance,NA,NA,Stellwagen,mn,Humpback Whale,12.5,3.24603,0.85934,12.5,25683.814788949625,75,2.480916665866971,30.230761489036475,30.230761489036475,NA,NA,Fish-feeding,North Atlantic,2.4809166666666664
bw11_220b,0,47863,5,good,yes,23,9572.6,286,902,47481,2.587722223252058,31,0,0,0,0,Krill,NA,NA,SoCal,bw,Blue Whale,22.05,3.667316,-0.014078,22.05,79862.4355285433,31,2.587722223252058,11.979647475856776,11.979647475856776,NA,NA,Krill-feeding,Eastern North Pacific,2.6590555555555557
