ID,species,lunge_depth
bw160727-10,bw,36.182846902186995
bw160727-10,bw,96.95565939918038
bw160727-10,bw,82.79752685044467
bw160727-10,bw,77.5843518686829
bw160727-10,bw,120.12580600577661
bw160727-10,bw,134.0554483241052
bw160727-10,bw,138.51202573017272
bw160727-10,bw,118.39885444463847
bw160727-10,bw,100.07605353188531
bw160727-10,bw,99.02442086081804
bw160727-10,bw,89.3671760713532
bw160727-10,bw,65.06943328116105
bw160727-10,bw,87.09325797957442
bw160727-10,bw,87.17913565166673
bw160727-10,bw,75.2625340115002
bw160727-10,bw,111.95278001965929
bw160727-10,bw,118.46222594467321
bw160727-10,bw,111.88853955397624
bw160727-10,bw,107.77318933156008
bw160727-10,bw,108.44879303100112
bw160727-10,bw,111.55463835674551
bw160727-10,bw,110.64938228771975
bw160727-10,bw,111.2364069996721
bw160727-10,bw,112.90805581962488
bw160727-10,bw,100.55695871588628
bw160727-10,bw,108.03197635863155
bw160727-10,bw,101.63574164315668
bw160727-10,bw,105.98470792473191
bw160727-10,bw,114.26569930946313
bw160727-10,bw,107.76976101755673
bw160727-10,bw,100.26567612351501
bw160727-10,bw,82.52366792336127
bw160727-10,bw,107.62143395698476
bw160727-10,bw,111.88034733008142
bw160727-10,bw,125.32619753758044
bw160727-10,bw,109.1576189741091
bw160727-10,bw,129.0355330870004
bw160727-10,bw,106.67787108291607
bw160727-10,bw,107.22594756139792
bw160727-10,bw,101.30695861842503
bw160727-10,bw,128.68345161754425
bw160727-10,bw,121.96405718850515
bw160727-10,bw,119.35897267286843
bw160727-10,bw,106.71507025746821
bw160727-10,bw,110.69688234229108
bw160727-10,bw,117.67232590581003
bw160727-10,bw,116.98073753971345
bw160727-10,bw,118.61975387591627
bw160727-10,bw,114.547075396564
bw160727-10,bw,118.17328304163927
bw160727-10,bw,118.88469988492795
bw160727-10,bw,118.55173542246517
bw160727-10,bw,119.4524168796995
bw160727-10,bw,133.91153626683294
bw160727-10,bw,133.2930041969931
bw160727-10,bw,134.47067905117603
bw160727-10,bw,125.47676249514052
bw160727-10,bw,111.24519849673648
bw160727-10,bw,104.8699823684184
bw160727-10,bw,120.43116067296303
bw160727-10,bw,126.91020118912
bw160727-10,bw,113.77003826260109
bw160727-10,bw,114.2732254856472
bw160727-10,bw,111.75729524387756
bw160727-10,bw,118.31705699057433
bw160727-10,bw,107.95693881454005
bw160727-10,bw,110.70985004400964
bw160727-10,bw,106.67802028980454
bw160727-10,bw,108.19827232366747
bw160727-10,bw,108.8849310592022
bw160727-10,bw,113.23703372158653
bw160727-10,bw,112.35307172994474
bw160727-10,bw,119.81003114084417
bw160727-10,bw,130.98191465340753
bw160727-10,bw,125.33662561822155
bw160727-10,bw,137.50994935168112
bw160727-10,bw,97.52564166594749
bw160727-10,bw,101.25241418226994
bw160727-10,bw,90.58557099375068
bw160727-10,bw,92.07496005331616
bw160727-10,bw,93.68720445862088
bw160727-10,bw,97.05132200354043
bw160727-10,bw,99.39668592355851
bw160727-10,bw,83.21231026913536
bw160727-10,bw,91.97815492812988
bw160727-10,bw,90.71952190671274
bw160727-10,bw,89.30392615541176
bw160727-10,bw,92.57560559783042
bw160727-10,bw,83.90534661200554
bw160727-10,bw,89.8317858933295
bw160727-10,bw,89.90043328502979
bw160727-10,bw,91.76605759313534
bw160727-10,bw,89.09577909342892
bw160727-10,bw,101.00065725586461
bw160727-10,bw,96.43449208327
bw160727-10,bw,95.82563829198959
bw160727-10,bw,93.81112855120351
bw160727-10,bw,90.16273349728723
bw160727-10,bw,95.22827776057065
bw160727-10,bw,135.04910103144616
bw160727-10,bw,118.09247482042844
bw160727-10,bw,110.34643519824664
bw160727-10,bw,107.30636585044185
bw160727-10,bw,121.60324532675098
bw160727-10,bw,117.29993598431689
bw160727-10,bw,113.8226110167972
bw160727-10,bw,117.39920808993192
bw160727-10,bw,137.92223114213502
bw160727-10,bw,123.73701351266945
bw160727-10,bw,114.74244857126057
bw160727-10,bw,120.2755659392525
bw160727-10,bw,102.08955702707429
bw160727-10,bw,128.8258537611808
bw160727-10,bw,121.3249520160683
bw160727-10,bw,118.11744410198057
bw160727-10,bw,100.92340566835227
bw160727-10,bw,116.57987820622562
bw160727-10,bw,116.12564803078764
bw160727-10,bw,120.7899878278289
bw160727-10,bw,119.64909053305955
bw160727-10,bw,108.77000749819801
bw160727-10,bw,111.2914867190531
bw160727-10,bw,107.56158204020964
bw160727-10,bw,122.05545521762885
bw160727-10,bw,114.59498617971316
bw160727-10,bw,115.94823727650754
bw160727-10,bw,100.10319336970453
bw160727-10,bw,113.86232820631473
bw160727-10,bw,123.47033283639367
bw160727-10,bw,132.51352871013108
bw160727-10,bw,121.86480880542138
bw160727-10,bw,126.9212661645332
bw160727-10,bw,122.74313106357727
bw160727-10,bw,117.49094871649955
bw160727-10,bw,114.38703528390619
bw160727-10,bw,110.19017989073909
bw160727-10,bw,116.19282157640659
bw160727-10,bw,110.51166311072332
bw160727-10,bw,98.51006529701013
bw160727-10,bw,116.18448676035285
bw160727-10,bw,124.81526859502006
bw160727-10,bw,106.78677756565034
bw160727-10,bw,104.43983766889073
bw160727-10,bw,101.19563996719594
bw160727-10,bw,99.94509768650633
bw160727-10,bw,115.97439673001617
bw160727-10,bw,112.76697725892286
bw160727-10,bw,44.94858788833369
bw160727-10,bw,97.84001320984055
bw160727-10,bw,102.18082605852995
bw160727-10,bw,68.99405045986292
bw160727-10,bw,59.27099623619267
bw160727-10,bw,107.41146019550952
bw160727-10,bw,99.33463550410474
bw160727-10,bw,97.57300655630303
bw160727-10,bw,93.33947865663923
bw160727-10,bw,91.28981114841675
bw160727-10,bw,100.14545639939622
bw160727-10,bw,110.87635066338252
bw160727-10,bw,84.46989922478272
bw160727-10,bw,101.1715386335267
bw160727-10,bw,106.67053221129004
