Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,E_divesurf_max,MR exponent
Balaenopteridae,Balaenoptera,physalus,20.2,47047,60000,13.9,2.94,176400,72.73,73.11,0.45
Balaenopteridae,Balaenoptera,physalus,20.2,47047,129240,24.7,2.94,379965.6,156.65,157.47,0.45
Balaenopteridae,Balaenoptera,physalus,20.2,47047,278520,30.9,2.94,818848.8,337.59,339.37,0.45
Balaenopteridae,Balaenoptera,physalus,20.2,47047,600000,18,2.94,1764000,727.26,731.08,0.45
Balaenopteridae,Balaenoptera,musculus,25.2,97000,13400,1,2.94,39396,4.56,4.6,0.45
Balaenopteridae,Balaenoptera,musculus,25.2,97000,28810,3.3,2.94,84701.4,9.81,9.88,0.45
Balaenopteridae,Balaenoptera,musculus,25.2,97000,62176,8.2,2.94,182797.44,21.18,21.33,0.45
Balaenopteridae,Balaenoptera,musculus,25.2,97000,134000,17,2.94,393960,45.64,45.97,0.45
Balaenopteridae,Balaenoptera,musculus,25.2,97000,288636,28.8,2.94,848589.84,98.33,99.05,0.45
Balaenopteridae,Balaenoptera,musculus,25.2,97000,622028,29.9,2.94,1828762.32,211.91,213.45,0.45
Balaenopteridae,Balaenoptera,musculus,25.2,97000,1340000,11.8,2.94,3939600,456.52,459.82,0.45
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,268,1.4,4.58,1227,3.88,3.96,0.45
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,576,28.2,4.58,2639,8.34,8.51,0.45
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,1244,27.3,4.58,5695,18.01,18.37,0.45
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,2680,35.7,4.58,12274,38.81,39.58,0.45
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,5773,7.4,4.58,26439,83.6,85.26,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,915,36,1.67,1531.7,9.04,8.8,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,456,0.4,1.67,763.2,4.51,4.39,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,944,0.4,1.67,1579.9,9.33,9.08,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,661,31.1,1.67,1106.8,6.53,6.36,0.45
Ziphiidae,Berardius,bairdii,10.5,11900,480,0.4,1.67,803.3,4.74,4.62,0.45
